WeatherPy_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
236,Zarya,55.7553,38.0958,50.52,68,14,10.83,Clouds,RU,2022-05-13 19:21:02
237,Luderitz,-26.6481,15.1594,57.38,67,89,13.91,Clouds,NA,2022-05-13 19:21:02
238,Itaituba,-4.2761,-55.9836,89.76,66,20,5.75,Clouds,BR,2022-05-13 19:19:28
239,Sann,26.0418,68.1378,91.31,11,0,10.78,Clear,PK,2022-05-13 19:21:02
240,Koslan,63.4564,48.8989,47.08,85,66,5.08,Clouds,RU,2022-05-13 19:21:03
241,Georgetown,5.4112,100.3354,83.95,92,20,3.44,Clouds,MY,2022-05-13 19:20:24
242,Flinders,-34.5833,150.8552,62.38,92,5,3.0,Clear,AU,2022-05-13 19:21:03
243,Rizhao,35.4275,119.4553,52.56,83,99,4.94,Clouds,CN,2022-05-13 19:21:04
244,Dorogino,54.3598,83.3198,57.83,39,38,1.41,Clouds,RU,2022-05-13 19:21:04
245,Poum,-20.2333,164.0167,76.5,74,100,26.49,Clouds,NC,2022-05-13 19:21:04
246,Sinnamary,5.3833,-52.95,82.13,76,29,11.48,Clouds,GF,2022-05-13 19:21:05
247,Meulaboh,4.1363,96.1285,78.19,88,69,3.83,Clouds,ID,2022-05-13 19:21:05
248,Ola,59.5833,151.2833,35.15,99,100,7.83,Snow,RU,2022-05-13 19:21:05
249,Fortuna,40.5982,-124.1573,60.1,89,100,10.36,Clouds,US,2022-05-13 19:18:37
250,San Juan,-31.5375,-68.5364,68.05,50,35,18.21,Clouds,AR,2022-05-13 19:16:33
251,Ahipara,-35.1667,173.1667,52.84,83,58,1.07,Clouds,NZ,2022-05-13 19:17:33
252,Ouro Preto Do Oeste,-10.7481,-62.2158,87.21,59,96,0.76,Clouds,BR,2022-05-13 19:21:06
253,Vaitape,-16.5167,-151.75,81.57,70,11,17.09,Clouds,PF,2022-05-13 19:21:06
254,Mayo,38.8876,-76.5119,74.1,86,100,9.22,Clouds,US,2022-05-13 19:21:07
255,Kazachinskoye,57.6953,93.2761,50.86,50,29,3.0,Clouds,RU,2022-05-13 19:21:07
256,Bullhead City,35.1478,-114.5683,95.59,7,0,24.16,Clear,US,2022-05-13 19:17:55
257,Sungaipenuh,-2.0833,101.3833,64.96,95,30,1.97,Clouds,ID,2022-05-13 19:21:07
258,Asau,46.4333,26.4,62.96,90,100,1.19,Rain,RO,2022-05-13 19:21:08
259,Tommot,58.9564,126.2925,37.53,98,100,5.12,Clouds,RU,2022-05-13 19:21:10
260,Longyearbyen,78.2186,15.6401,22.84,58,0,13.8,Clear,SJ,2022-05-13 19:21:11
261,Mnogovershinnyy,53.9353,139.9242,30.87,96,79,0.96,Clouds,RU,2022-05-13 19:21:11
262,Miraflores,19.2167,-98.8083,78.03,17,100,4.54,Clouds,MX,2022-05-13 19:21:11
263,Wattegama,6.7989,81.4808,77.49,83,72,9.42,Clouds,LK,2022-05-13 19:21:12
